density,pop,county,state
136.32740613,78871,Cape Girardeau,Missouri
11.839555224,5930,Shelby,Missouri
66.814815375,39592,Webster,Missouri
9.3972906116,5143,Atchison,Missouri
19.328436321,16172,Bates,Missouri
27.616221732,19443,Benton,Missouri
11.790479403,5982,Carter,Missouri
15.430285339,7561,Dade,Missouri
19.363587929,11920,Linn,Missouri
43.26456481,40117,Howell,Missouri
65.193056194,54062,Johnson,Missouri
46.719314795,35723,Laclede,Missouri
16.503529137,8697,Maries,Missouri
66.349948124,44573,Phelps,Missouri
248.74104911,104418,Platte,Missouri
148.74295845,67215,St. Francois,Missouri
4868.1340932,300576,St. Louis,Missouri
40.940176015,17712,Andrew,Missouri
61.148432096,42478,Butler,Missouri
12.494570616,8679,Carroll,Missouri
14.696013434,8278,Daviess,Missouri
9.5160268006,4403,Holt,Missouri
7.8550222824,3959,Knox,Missouri
65.297661358,28530,Marion,Missouri
21.588757537,11551,Montgomery,Missouri
22.44552221,13615,Osage,Missouri
21.107767682,13288,Ripley,Missouri
35.257978342,29025,Stoddard,Missouri
83.174037337,35649,Warren,Missouri
32.545209763,24730,Washington,Missouri
36.674883278,25388,Audrain,Missouri
157.46085469,88595,Christian,Missouri
29.777552496,12547,DeKalb,Missouri
433.99134554,293086,Greene,Missouri
11.559592485,8352,Harrison,Missouri
52.046688119,32708,Lafayette,Missouri
13.921868747,9397,St. Clair,Missouri
44.671131616,25343,Adair,Missouri
15.164085097,4660,Schuyler,Missouri
11.230055778,4902,Scotland,Missouri
9.3968690767,6089,Sullivan,Missouri
70.582263849,46305,Camden,Missouri
13.469902318,6797,Clark,Missouri
190.0185214,121328,Jasper,Missouri
342.86704813,225081,Jefferson,Missouri
19.356807308,9776,Lewis,Missouri
42.33149127,22837,McDonald,Missouri
25.303107644,17076,New Madrid,Missouri
40.341082461,19136,Perry,Missouri
50.586398876,32149,Polk,Missouri
21.943997437,10309,Ralls,Missouri
40.466991263,23018,Ray,Missouri
3.013764257,11402,Custer,Montana
5.6857649916,16484,Hill,Montana
1.4184887736,5635,Chouteau,Montana
0.5099757071,1682,Powder River,Montana
5.5307416997,19980,Lincoln,Montana
5.9254860741,16606,Park,Montana
4.673400701,11004,Roosevelt,Montana
0.7118014976,696,Treasure,Montana
1.5805077967,6681,Blaine,Montana
1.6342849988,2337,Liberty,Montana
2.0140071587,3737,Sweet Grass,Montana
5.1823990582,10803,Richland,Montana
2.706018259,6147,Teton,Montana
0.6201763872,1077,Prairie,Montana
2.4730862096,4736,Toole,Montana
4.5920690096,13753,Glacier,Montana
1.7561456253,2846,Fallon,Montana
1.1851196078,1690,Daniels,Montana
0.6990668972,821,Golden Valley,Montana
1.0734417522,2007,Judith Basin,Montana
48.629261015,34915,Silver Bow,Montana
5.3663673795,9642,Stillwater,Montana
12.406969979,9140,Deer Lodge,Montana
7.375987558,12221,Jefferson,Montana
1.9563885246,3379,Granite,Montana
0.6297721681,1664,McCone,Montana
1.4945719367,2126,Wheatland,Montana
2.3967733878,8600,Madison,Montana
1.7844965407,8937,Rosebud,Montana
1.9745695867,3309,Sheridan,Montana
0.3747967343,1252,Carter,Montana
3.6312389346,8613,Dawson,Montana
2.6649647236,13319,Big Horn,Montana
5.2308066018,6237,Broadwater,Montana
20.43520938,30458,Lake,Montana
532.41154939,3981,Norton,Virginia
1251.5759071,24932,Staunton,Virginia
94.978596256,27270,Fluvanna,Virginia
36.990608718,13145,Amelia,Virginia
1885.9311257,18249,Radford,Virginia
3054.3143844,28078,Winchester,Virginia
71.923561531,32316,Accomack,Virginia
15.638609565,5131,Craig,Virginia
41.344329308,15749,Floyd,Virginia
46.80539791,16720,Giles,Virginia
35.198087218,15550,Grayson,Virginia
48.449422448,15232,Nottoway,Virginia
27.668047536,7370,Rappahannock,Virginia
38.069761966,6963,Charles ,Virginia
138.73110888,52605,Culpeper,Virginia
56.64794257,28544,Dinwiddie,Virginia
127.09930386,19819,Greene,Virginia
230.32549044,107766,Hanover,Virginia
28.251103096,12196,Lunenburg,Virginia
108.61835795,37051,Orange,Virginia
774.34264693,5346,Emporia,Virginia
62.096785122,28684,Wythe,Virginia
723.2717246,244835,Chesapeake,Virginia
2310.0156938,17370,Colonial Heights,Virginia
3057.5760128,53016,Harrisonburg,Virginia
151.74823151,109330,Albemarle,Virginia
17.559027043,6280,Bland,Virginia
103.93210864,78997,Bedford,Virginia
61.741048975,33419,Botetourt,Virginia
29.584770513,17148,Buckingham,Virginia
92.660763644,37383,Wise,Virginia
1299.0170625,16762,Bristol,Virginia
1012.6739301,5538,Covington,Virginia
2834.721871,94398,Portsmouth,Virginia
1672.647896,14954,Williamsburg,Virginia
1838.7105589,449974,Virginia Beach,Virginia
33.275919292,14860,Alleghany,Virginia
62.751656738,29791,Carroll,Virginia
770.60731623,6347,Galax,Virginia
95.765776812,53740,Washington,Virginia
78.556408503,18015,Westmoreland,Virginia
63.178969227,12095,Northumberland,Virginia
77.098095864,23902,Page,Virginia
106.38817573,34027,Pulaski,Virginia
187.21489164,40164,Warren,Virginia
10675.366948,159428,Alexandria,Virginia
935.66625274,40044,Danville,Virginia
2778.3805955,29036,Fredericksburg,Virginia
2613.9697686,134510,Hampton,Virginia
66.682629736,31605,Amherst,Virginia
9110.2137123,236842,Arlington,Virginia
7.836331572,4147,Bath,Virginia
2175.7981762,22529,Hopewell,Virginia
41.769544661,21004,Buchanan,Virginia
2597.7568184,179225,Newport News,Virginia
216.16593192,89313,Frederick,Virginia
567.90220642,152882,Stafford,Virginia
1677.7821337,82168,Lynchburg,Virginia
652.71795258,68280,York,Virginia
3845.5317317,230436,Richmond,Virginia
